CompletionTermDesc,Emplid,Crse ID,Term Descrshort,Subject,Catalog Nbr,Class Section,Session Descrshort,Crse Component Descrshort,Crse Descr,Unt Earned - Credits,Crse Grade Off - Grade Earned,Course Code,Outside UMSI
Winter 2024,02124036,001459,FA 2023,SI,690,460,Regular,Seminar,Intern/Field Exper,2.00,S,SI 690,No
Winter 2024,02124036,001459,WN 2024,SI,690,001,Regular,Seminar,Intern/Field Exper,1.00,S,SI 690,No
Winter 2024,02124036,016607,FA 2022,SI,544,001,Regular,Lecture,Intr Stat&Data Analy,3.00,A+,SI 544,No
Winter 2024,02124036,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,02124036,022099,WN 2024,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,02124036,039178,FA 2022,SI,539,001,Regular,Lecture,Web Design,3.00,A+,SI 539,No
Winter 2024,02124036,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,02124036,041626,FA 2022,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2024,02124036,043396,WN 2023,EECS,402,001,Regular,Lecture,Prog for Sci&Eng,4.00,A+,EECS 402,Yes
Winter 2024,02124036,044772,FA 2023,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A-,SI 582,No
Winter 2024,02124036,047640,FA 2022,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2024,02124036,047901,WN 2024,SI,699,203,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,02124036,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,02124036,048487,FA 2023,SI,669,001,Regular,Lecture,Dev Mobile Exp,3.00,A+,SI 669,No
Winter 2024,02124036,049601,FA 2023,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,02124036,050159,WN 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,C+,SI 579,No
Winter 2024,02124036,050164,FA 2022,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A+,SI 504,No
Winter 2024,02462289,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A+,SI 588,No
Winter 2024,02462289,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,02462289,021391,WN 2024,SI,511,151,Regular,Lecture,Special Topics,1.50,A+,SI 511,No
Winter 2024,02462289,021400,FA 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2024,02462289,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,02462289,039081,WN 2023,SI,529,001,Regular,Lecture,Online Communities,3.00,A,SI 529,No
Winter 2024,02462289,039178,FA 2022,SI,539,001,Regular,Lecture,Web Design,3.00,A+,SI 539,No
Winter 2024,02462289,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,02462289,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A+,SI 501,No
Winter 2024,02462289,043863,FA 2023,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A+,SI 612,No
Winter 2024,02462289,044772,FA 2023,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,02462289,045687,WN 2023,SI,538,001,Regular,Seminar,Citizen Inter Design,4.00,A,SI 538,No
Winter 2024,02462289,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A+,SI 684,No
Winter 2024,02462289,047901,WN 2024,SI,699,201,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,02462289,048488,FA 2023,SI,559,002,Regular,Lecture,AR/VR Intro,3.00,A,SI 559,No
Winter 2024,02861018,012772,WN 2024,SI,548,001,Regular,Seminar,Prin Soft Design,3.00,A,SI 548,No
Winter 2024,02861018,017244,WN 2024,KINESLGY,686,044,Regular,Ind Study,Intern in Kines,3.00,A,KINESLGY 686,Yes
Winter 2024,02861018,017281,FA 2023,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,02861018,020401,WN 2024,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A-,SI 622,No
Winter 2024,02861018,021400,FA 2023,SI,520,001,Regular,Lecture,Graphic Design,3.00,A-,SI 520,No
